"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Vérifie que le clic sur la flèche gauche du slider active le dernier élément de la liste.","36488","testSliderLeft()","","Thu Jan 22 15:01:36 UTC 2026","passed","Thu Jan 22 15:02:12 UTC 2026","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testSliderLeft"
"Change la langue du site en anglais et vérifie que la page reste accessible.","2925","testHomePageChangeLanguageToEn()","","Thu Jan 22 15:02:16 UTC 2026","passed","Thu Jan 22 15:02:19 UTC 2026","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testHomePageChangeLanguageToEn"
"Ouvre le site et vérifie que la page d'accueil s'affiche correctement.","3470","testHomePageIsDisplayed()","","Thu Jan 22 15:02:12 UTC 2026","passed","Thu Jan 22 15:02:16 UTC 2026","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testHomePageIsDisplayed"
"Clique sur le premier jeu du slider et vérifie la redirection vers la page de détails du jeu.","12653","testClickFirstGameInSwiper()","","Thu Jan 22 15:02:19 UTC 2026","broken","Thu Jan 22 15:02:32 UTC 2026","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testClickFirstGameInSwiper"
"Vérifie que le premier résultat d'une recherche sur 'Witcher' contient bien ce mot dans son titre.","4854","testFirstResultContainsWitcher()","","Thu Jan 22 15:02:57 UTC 2026","broken","Thu Jan 22 15:03:02 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testFirstResultContainsWitcher"
"Vérifie que la recherche avec les termes 'Binding of' retourne une liste de résultats.","5128","testSearchBindingOf()","","Thu Jan 22 15:03:02 UTC 2026","passed","Thu Jan 22 15:03:07 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testSearchBindingOf"
"Vérifie que le bouton de réinitialisation des filtres fonctionne correctement.","15480","testResetFilters()","","Thu Jan 22 15:02:37 UTC 2026","broken","Thu Jan 22 15:02:52 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testResetFilters"
"","1161","contextLoads()","","Thu Jan 22 15:01:35 UTC 2026","passed","Thu Jan 22 15:01:36 UTC 2026","","hesias.selenium.practices.PracticesApplicationTests","hesias.selenium.practices.PracticesApplicationTests","contextLoads"
"Vérifie que la recherche du jeu 'Cyberpunk' affiche bien la page de résultats.","4672","testSearchCyberpunk()","","Thu Jan 22 15:02:52 UTC 2026","passed","Thu Jan 22 15:02:57 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testSearchCyberpunk"
"Vérifie que le filtre 'Good Old Games' est actif ou peut être sélectionné après une recherche.","5319","testFilterGoodOldGames()","","Thu Jan 22 15:02:32 UTC 2026","passed","Thu Jan 22 15:02:37 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testFilterGoodOldGames"
