"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Ouvre le site et vérifie que la page d'accueil s'affiche correctement.","2280","testHomePageIsDisplayed()","","Thu Jan 22 13:41:54 UTC 2026","broken","Thu Jan 22 13:41:56 UTC 2026","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testHomePageIsDisplayed"
"","941","contextLoads()","","Thu Jan 22 13:41:40 UTC 2026","passed","Thu Jan 22 13:41:41 UTC 2026","","hesias.selenium.practices.PracticesApplicationTests","hesias.selenium.practices.PracticesApplicationTests","contextLoads"
"Vérifie que le premier résultat d'une recherche sur 'Witcher' contient bien ce mot dans son titre.","4573","testFirstResultContainsWitcher()","","Thu Jan 22 13:42:38 UTC 2026","broken","Thu Jan 22 13:42:42 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testFirstResultContainsWitcher"
"Change la langue du site en anglais et vérifie que la page reste accessible.","3003","testHomePageChangeLanguageToEn()","","Thu Jan 22 13:41:56 UTC 2026","broken","Thu Jan 22 13:41:59 UTC 2026","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testHomePageChangeLanguageToEn"
"Vérifie que la recherche avec les termes 'Binding of' retourne une liste de résultats.","4568","testSearchBindingOf()","","Thu Jan 22 13:42:42 UTC 2026","broken","Thu Jan 22 13:42:47 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testSearchBindingOf"
"Clique sur le premier jeu du slider et vérifie la redirection vers la page de détails du jeu.","13312","testClickFirstGameInSwiper()","","Thu Jan 22 13:41:59 UTC 2026","broken","Thu Jan 22 13:42:12 UTC 2026","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testClickFirstGameInSwiper"
"Vérifie que le clic sur la flèche gauche du slider active le dernier élément de la liste.","12343","testSliderLeft()","","Thu Jan 22 13:41:41 UTC 2026","broken","Thu Jan 22 13:41:54 UTC 2026","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testSliderLeft"
"Vérifie que la recherche du jeu 'Cyberpunk' affiche bien la page de résultats.","4751","testSearchCyberpunk()","","Thu Jan 22 13:42:33 UTC 2026","broken","Thu Jan 22 13:42:38 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testSearchCyberpunk"
"Vérifie que le bouton de réinitialisation des filtres fonctionne correctement.","15509","testResetFilters()","","Thu Jan 22 13:42:17 UTC 2026","broken","Thu Jan 22 13:42:33 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testResetFilters"
"Vérifie que le filtre 'Good Old Games' est actif ou peut être sélectionné après une recherche.","5026","testFilterGoodOldGames()","","Thu Jan 22 13:42:12 UTC 2026","broken","Thu Jan 22 13:42:17 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testFilterGoodOldGames"
