"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Ouvre le site et vérifie que la page d'accueil s'affiche correctement.","2385","testHomePageIsDisplayed()","","Thu Jan 22 15:33:12 UTC 2026","passed","Thu Jan 22 15:33:15 UTC 2026","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testHomePageIsDisplayed"
"Vérifie que le filtre 'Good Old Games' est actif ou peut être sélectionné après une recherche.","4875","testFilterGoodOldGames()","","Thu Jan 22 15:33:44 UTC 2026","passed","Thu Jan 22 15:33:49 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testFilterGoodOldGames"
"Vérifie que le bouton de réinitialisation des filtres fonctionne correctement.","14902","testResetFilters()","","Thu Jan 22 15:33:49 UTC 2026","broken","Thu Jan 22 15:34:03 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testResetFilters"
"Vérifie que la recherche du jeu 'Cyberpunk' affiche bien la page de résultats.","4770","testSearchCyberpunk()","","Thu Jan 22 15:34:03 UTC 2026","passed","Thu Jan 22 15:34:08 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testSearchCyberpunk"
"Change la langue du site en anglais et vérifie que la page reste accessible.","3445","testHomePageChangeLanguageToEn()","","Thu Jan 22 15:33:15 UTC 2026","passed","Thu Jan 22 15:33:18 UTC 2026","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testHomePageChangeLanguageToEn"
"Vérifie que le premier résultat d'une recherche sur 'Witcher' contient bien ce mot dans son titre.","4407","testFirstResultContainsWitcher()","","Thu Jan 22 15:34:08 UTC 2026","broken","Thu Jan 22 15:34:13 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testFirstResultContainsWitcher"
"Clique sur le premier jeu du slider et vérifie la redirection vers la page de détails du jeu.","12714","testClickFirstGameInSwiper()","","Thu Jan 22 15:33:18 UTC 2026","broken","Thu Jan 22 15:33:31 UTC 2026","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testClickFirstGameInSwiper"
"Vérifie que le clic sur la flèche gauche du slider active le dernier élément de la liste.","12344","testSliderLeft()","","Thu Jan 22 15:33:00 UTC 2026","passed","Thu Jan 22 15:33:12 UTC 2026","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testSliderLeft"
"Vérifie que l'on peut accéder à la page 'Work' via le menu 'À propos'.","12745","testGoToJobOfferPage()","","Thu Jan 22 15:33:31 UTC 2026","broken","Thu Jan 22 15:33:44 UTC 2026","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testGoToJobOfferPage"
"","924","contextLoads()","","Thu Jan 22 15:32:59 UTC 2026","passed","Thu Jan 22 15:33:00 UTC 2026","","hesias.selenium.practices.PracticesApplicationTests","hesias.selenium.practices.PracticesApplicationTests","contextLoads"
"Vérifie que la recherche avec les termes 'Binding of' retourne une liste de résultats.","4666","testSearchBindingOf()","","Thu Jan 22 15:34:13 UTC 2026","passed","Thu Jan 22 15:34:17 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testSearchBindingOf"
